[u'ACM International Conference on Information and Knowledge Management', u'CIKM', 38]
[u'Architectural Support for Programming Languages and Operating Systems', u'ASPLOS', 38]
[u'IEEE Transactions on Evolutionary Computation', u'TEVC', 38]
[u'Pattern Recognition Letters', u'PRL', 37]
[u'IEEE International Conference on Communications', u'ICC', 37]
[u'EuroSys', u'EuroSys', 37]
[u'IEEE Global Communications Conference, incorporating the Global Internet Symposium', u'Globecom', 37]
[u'ACM International Conference on Mobile Computing and Networking', u'MOBICOM', 37]
[u'ACM Multimedia', u'MM', 37]
[u'Journal of the American Medical Informatics Association', u'JAMIA', 37]
[u'IEEE Internet Computing', u'INTERNET', 36]
[u'Games and Economic Behavior', u'GAME ECON BEHAV', 36]
[u'International Symposium on Computer Architecture', u'ISCA', 36]
[u'Autonomous Agents and Multi-Agent Systems', u'AAMAS', 36]
[u'IEEE International System-on-Chip (SoC) Conference', u'SoCC', 36]
[u'International Conference on Distributed Computing Systems', u'ICDCS', 36]
[u'ACM SIGPLAN Symposium on Programming Language Design & Implementation', u'PLDI', 36]
[u'ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages', u'POPL', 36]
[u'ISOC Network and Distributed System Security Symposium', u'NDSS', 36]
[u'Information & Software Technology', u'INFSOF', 36]
[u'IEEE Transactions on Computers', u'TOC', 36]
[u'IEEE Network', u'NETWORK', 36]
[u'Journal of Chemical Information and Modeling', u'J CHEM INF MODEL', 36]
[u'SIAM Journal on Scientific Computing', u'SISC', 36]
[u'Journal of Biomedical Informatics', u'JBI', 35]
[u'Mathematical and Computer Modelling', u'MATH COMPUT MODELLING', 35]
[u'Computer Aided Verification', u'CAV', 35]
[u'Annual Conference of the International Speech Communication Association', u'INTERSPEECH', 35]
[u'International Joint Conference on Artificial Intelligence', u'IJCAI', 35]
[u'Design, Automation & Test in Europe Conference', u'DATE', 35]
[u'IEEE Transactions on Very Large Scale Integration Systems', u'TVLSI', 35]
[u'Computer Communications', u'CC', 34]
[u'Computer Vision and Image Understanding', u'CVIU', 34]
[u'Scientometrics', u'Scientometrics', 34]
[u'High-Performance Computer Architecture', u'HPCA', 34]
[u'ECCV (1)', u'ECCV', 34]
[u'International Parallel & Distributed Processing Symposium', u'IPDPS', 34]
[u'ICSE (1)', u'ICSE', 34]
[u'Cluster Computing and the Grid', u'CCGRID', 34]
[u'New Media & Society', u'NEW MEDIA SOC', 34]
[u'Journal of Computational Chemistry', u'JCC', 33]
[u'Marketing Science', u'Marketing', 33]
[u'Environmental Modelling and Software', u'ENVSOFT', 33]
